sn,ring_completed,defect_magnitude,defect_area,Pitch_high,Pitch_low,PV,sharpness_drop_rate,std_full,std_inner,std_outer,inner_rings,inner_PV,outer_rings,outer_PV,mtf_drop_10,mtf_drop_20,mtf_drop_30
SN59,0.281,0.04533519,495,38.07142857,92.66666667,0.006425982,0.06281596,0.048,0.024,0.026,0,0.01,0,0.02,-2.87,1.92,29.47
SN6,0.034111111,0.03157629,253,38,149.3333333,0.00760461,0.102005616,0.074,0.011,0.016,1,0.02,1,0.02,1.86,7.22,25.99
SN60,0.287222222,0.046750869,162,49.25,166,0.005707127,0.05772891,0.036,0.013,0.026,1,0.01,1,0.01,-2.43,1.09,28.64
SN61,0.182111111,0.035030481,364,35.78571429,125.25,0.006696956,0.0576599,0.053,0.017,0.022,0,0.01,1,0.03,-1.59,3.46,33.75
SN62,0.323,0.083446208,498,43.92307692,145.5,0.006993144,0.054605074,0.062,0.021,0.021,0,0.01,1,0.02,-4.67,1.82,31.02
SN63,0.307333333,0.132817893,624,28.77777778,123,0.009148962,0.035426136,0.098,0.015,0.019,0,0.01,0,0.01,-2.13,1.31,26.07
SN64,0.383888889,0.038352774,161,37.61538462,104.6666667,0.007079289,0.047040302,0.057,0.018,0.023,0,0.03,0,0.03,-2.95,0.02,26.27
SN65,0.267111111,0.094545869,499,34.125,116,0.007593861,0.031260666,0.062,0.02,0.021,1,0.01,1,0.03,-1.47,0.91,24.05
SN66,0.183777778,0.072613416,484,29.66666667,135.3333333,0.007185914,0.048415575,0.059,0.016,0.018,0,0.01,1,0.02,-2,1,27.96
SN67,0.333333333,0.107132793,497,45.71428571,144.5,0.009726754,0.08665834,0.101,0.01,0.021,0,0.01,0,0.01,1.1,5.97,21.19
SN68,0.238666667,0.108956808,491,33.94117647,197.5,0.008089089,0.037686337,0.072,0.015,0.014,1,0.01,1,0.02,-3.39,1.09,25.27
SN69,0.360777778,0.06031553,513,28.8,,0.007342512,0.055386133,0.074,0.014,0.016,0,0.01,0,0.01,-2.02,0.38,29.31
SN7,0.139444444,0.035147529,282,40.76923077,146.5,0.008100919,0.08571554,0.088,0.018,0.024,0,0.01,0,0.02,2.82,5.67,20.48
SN70,0,,54,49.33333333,134.3333333,0.006665135,0.065805726,0.051,0.021,0.023,0,0.01,0,0.06,-4.88,-0.55,28.19
SN71,0.245111111,0.109889299,492,39.53333333,112.5,0.007468032,0.033990547,0.065,0.016,0.016,0,0.01,0,0.02,-1.82,1.03,28.91
SN72,0.037333333,0.042783648,467,32.625,201,0.00895348,0.04805875,0.081,0.013,0.017,0,0.01,0,0.03,-4.1,-1.18,29.33
SN73,0.538,0.031784203,0,42.38461538,117.3333333,0.007644656,0.061159186,0.064,0.018,0.021,0,0.04,0,0.04,0.71,2.22,23.72
SN74,0.218888889,0.037048119,412,37.33333333,179,0.00930873,0.033629693,0.075,0.011,0.025,0,0.01,0,0.03,0.85,2.77,20.71
SN8,0.341888889,0.037944589,379,40.78571429,103.3333333,0.007391144,0.087273404,0.078,0.017,0.021,0,0.02,0,0.03,-0.39,3.91,21.39
SN9,0.053333333,0.028152437,112,44.92307692,126.5,0.006117065,0.0897674,0.048,0.011,0.025,0,0.01,0,0.02,1.61,9.06,22.21
